model_source,sentence_type,sentence_length,size,threshold_applied,accuracy,precision,recall,f1_score,roc_auc
gpt4o,guides,long,100,0.85000,1.00000,1.00000,1.00000,1.00000,1.00000
gpt4o,workplace,small,100,0.60000,0.97000,0.96078,0.98000,0.97030,0.99480
gpt4o,workplace,medium,100,0.65000,0.99000,0.98039,1.00000,0.99010,0.99960
gpt4o,workplace,long,100,0.75000,1.00000,1.00000,1.00000,1.00000,1.00000
llama11b,education,small,100,0.60000,0.85000,0.79661,0.94000,0.86239,0.84520
llama11b,education,medium,100,0.68000,0.91000,0.84746,1.00000,0.91743,0.94600
llama11b,education,long,100,0.98000,0.99000,0.98039,1.00000,0.99010,0.99000
llama11b,emergency,small,100,0.14000,0.90000,0.83333,1.00000,0.90909,0.93440
llama11b,emergency,medium,100,0.68000,0.95000,1.00000,0.90000,0.94737,0.98420
llama11b,emergency,long,100,0.74000,1.00000,1.00000,1.00000,1.00000,1.00000
llama11b,guides,small,100,0.68000,0.96000,0.94231,0.98000,0.96078,0.98180
llama11b,guides,medium,100,0.98000,0.98000,1.00000,0.96000,0.97959,0.99760
llama11b,guides,long,100,0.98000,1.00000,1.00000,1.00000,1.00000,1.00000
llama11b,workplace,small,100,0.40000,0.98000,0.96154,1.00000,0.98039,0.99120
llama11b,workplace,medium,100,0.74000,0.99000,1.00000,0.98000,0.98990,0.99860
llama11b,workplace,long,100,0.74000,1.00000,1.00000,1.00000,1.00000,1.00000
llama70b,education,small,100,0.80000,0.93000,0.90566,0.96000,0.93204,0.94800
llama70b,education,medium,100,0.80000,0.95000,0.94118,0.96000,0.95050,0.97880
llama70b,education,long,100,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000
llama70b,emergency,small,100,0.40000,0.99000,1.00000,0.98000,0.98990,0.99500
llama70b,emergency,medium,100,0.70000,1.00000,1.00000,1.00000,1.00000,1.00000
llama70b,emergency,long,100,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000
llama70b,guides,small,100,0.80000,0.96000,0.97917,0.94000,0.95918,0.98660
llama70b,guides,medium,100,0.80000,0.99000,0.98039,1.00000,0.99010,0.99660
llama70b,guides,long,100,0.85000,1.00000,1.00000,1.00000,1.00000,1.00000
llama70b,workplace,small,100,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000
llama70b,workplace,medium,100,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000
llama70b,workplace,long,100,0.80000,0.97000,0.94340,1.00000,0.97087,0.99760
mdistilbert_ranker,education,small,100,0.99828,0.66000,0.60000,0.96000,0.73846,0.66440
mdistilbert_ranker,education,medium,100,0.99883,0.62000,0.56818,1.00000,0.72464,0.55560
mdistilbert_ranker,education,long,100,0.99934,0.90000,0.90000,0.90000,0.90000,0.94440
mdistilbert_ranker,emergency,small,100,0.99393,1.00000,1.00000,1.00000,1.00000,1.00000
mdistilbert_ranker,emergency,medium,100,0.99869,1.00000,1.00000,1.00000,1.00000,1.00000
mdistilbert_ranker,emergency,long,100,0.99901,1.00000,1.00000,1.00000,1.00000,1.00000
mdistilbert_ranker,guides,small,100,0.99791,0.86000,0.82143,0.92000,0.86792,0.90800
mdistilbert_ranker,guides,medium,100,0.99936,0.88000,0.85185,0.92000,0.88462,0.90320
mdistilbert_ranker,guides,long,100,0.99939,0.87000,0.82456,0.94000,0.87850,0.88960
mdistilbert_ranker,workplace,small,100,0.99936,0.97000,0.97959,0.96000,0.96970,0.99160
mdistilbert_ranker,workplace,medium,100,0.99948,0.95000,0.92453,0.98000,0.95146,0.94920
mdistilbert_ranker,workplace,long,100,0.99940,0.91000,0.84746,1.00000,0.91743,0.91960
xlmr_classifier,education,small,100,0.99863,0.75000,0.68116,0.94000,0.78992,0.69280
xlmr_classifier,education,medium,100,0.99863,0.67000,0.60759,0.96000,0.74419,0.55340
xlmr_classifier,education,long,100,0.99861,0.85000,0.76923,1.00000,0.86957,0.75160
xlmr_classifier,emergency,small,100,0.99719,1.00000,1.00000,1.00000,1.00000,1.00000
xlmr_classifier,emergency,medium,100,0.99849,1.00000,1.00000,1.00000,1.00000,1.00000
xlmr_classifier,emergency,long,100,0.99861,1.00000,1.00000,1.00000,1.00000,1.00000
xlmr_classifier,guides,small,100,0.99857,0.87000,0.86275,0.88000,0.87129,0.91560
xlmr_classifier,guides,medium,100,0.99862,0.91000,0.84746,1.00000,0.91743,0.89700
xlmr_classifier,guides,long,100,0.99861,0.78000,0.70000,0.98000,0.81667,0.67000
xlmr_classifier,workplace,small,100,0.99863,0.96000,0.94231,0.98000,0.96078,0.97560
xlmr_classifier,workplace,medium,100,0.99863,0.85000,0.77778,0.98000,0.86726,0.83440
xlmr_classifier,workplace,long,100,0.99860,0.78000,0.69444,1.00000,0.81967,0.65560
